,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Private
Mount Saint Mary College,1170,695,238,14,48,1170,429,7470,4600,250,1400,74,75,15.3,23,6898,88,1
Morehouse College,3708,1678,722,41,66,2852,153,7050,5490,250,600,71,74,17.8,10,8122,83,1
Rollins College,1777,1151,382,31,55,1668,1052,16425,5220,955,750,81,85,13.3,23,11561,90,1
Converse College,440,407,149,35,70,643,80,12050,3700,500,900,63,76,10.2,31,10965,75,1
Western State College of Colorado,2702,1623,604,7,24,2315,146,5918,3755,500,2050,76,79,19.4,4,4599,52,0
Incarnate Word College,1163,927,386,16,49,1685,556,8840,4689,750,2775,67,69,11.4,21,6095,95,1
Davidson College,2373,956,452,77,96,1601,6,17295,5070,600,1011,95,97,12.0,46,17581,94,1
Dickinson College,3014,2539,487,31,68,1889,62,18700,5000,595,1250,87,94,11.2,39,13861,87,1
La Roche College,361,321,185,10,41,650,819,8842,4782,600,1100,57,73,14.2,14,7022,52,1
Creighton University,2967,2836,876,30,60,3450,644,10628,4372,650,2055,85,90,6.5,32,22906,85,1
Washington College,1209,942,214,31,60,822,46,15276,5318,500,300,79,86,11.2,37,10830,65,1
University of Cincinnati,6855,5553,2408,26,57,11036,2011,8907,4697,556,1851,89,95,10.8,6,13889,54,0
Lakeland College,497,452,231,24,47,887,1957,9400,4005,500,1000,49,65,17.2,25,4054,57,1
Wofford College,1501,935,273,51,83,1059,34,12680,4150,605,1440,91,92,15.3,42,7875,75,1
Saint Joseph's College,833,682,217,12,33,716,2196,9985,5180,500,800,53,89,27.2,8,4322,85,1
Trinity College DC,247,189,100,19,49,309,639,11412,6430,500,900,89,93,8.3,37,11806,96,1
Dordt College,604,562,328,25,50,1048,56,9800,2650,450,2800,61,60,12.5,17,7325,87,1
North Dakota State University,2968,2297,1610,13,47,7368,1128,5834,2744,600,2000,79,83,17.0,24,6310,42,0
University of Tennessee at Knoxville,7473,5372,3013,27,53,15749,3237,5764,3262,750,3300,86,92,16.5,22,8612,53,0
Bemidji State University,1208,877,546,12,36,3796,824,4425,2700,660,1800,57,62,19.6,16,3752,46,0
Niagara University,2220,1796,467,65,99,1919,334,10320,4762,450,650,68,100,14.2,20,7788,65,1
SUNY College at Fredonia,4877,2798,814,13,48,4123,298,6550,4420,620,1481,82,90,16.3,10,6442,66,0
Christopher Newport University,883,766,428,3,37,2910,1749,7860,4750,525,1889,80,82,21.2,16,4639,48,0
Mount Union College,1310,1086,458,26,61,1365,144,12250,3530,400,1150,85,87,16.7,35,7215,81,1
Iowa State University,8427,7424,3441,26,59,18676,1715,7550,3224,640,2055,81,88,19.2,22,8420,65,0
Saint Joseph College,292,241,96,20,52,543,712,12200,4600,650,950,87,90,11.2,32,8680,76,1
Monmouth College,2707,1881,478,14,34,1893,847,12480,5290,530,1740,70,85,14.2,15,9492,54,1
Otterbein College,1496,1205,428,26,57,1648,936,12888,4440,420,840,62,68,13.9,30,8802,87,1
Xavier University,1959,1805,695,24,47,2849,1107,11520,4960,600,1250,73,75,13.3,31,9189,83,1
Skidmore College,4293,2728,591,25,62,2322,263,18710,5970,500,700,87,92,12.7,29,14837,81,1
University of Wyoming,2029,1516,1073,23,46,7535,1488,5988,3422,600,1500,91,94,15.1,13,8745,45,0
Lenoir-Rhyne College,979,743,259,25,46,1188,166,10100,4000,400,1000,88,92,12.0,20,8539,66,1
Mount Holyoke College,1800,1314,526,47,79,1891,40,19300,5700,750,750,79,91,9.0,51,18359,84,1
New Jersey Institute of Technology,1879,1216,483,27,62,3311,1646,8832,5376,700,1850,92,98,13.5,19,12529,72,0
Central Connecticut State University,4158,2532,902,6,24,6394,3881,5962,4444,500,985,69,73,16.7,4,4900,49,0
Grove City College,2491,1110,573,57,88,2213,35,5224,3048,525,350,65,65,18.4,18,4957,100,1
Arkansas Tech University,1734,1729,951,12,52,3602,939,3460,2650,450,1000,57,60,19.6,5,4739,48,0
Oglethorpe University,792,649,186,56,87,769,377,12900,4340,600,4110,91,95,13.1,27,8568,67,1
Dartmouth College,8587,2273,1087,87,99,3918,32,19545,6070,550,1100,95,99,4.7,49,29619,98,1
Antioch University,713,661,252,25,44,712,23,15476,3336,400,1100,69,82,11.3,35,42926,48,1
Kansas Wesleyan University,589,575,148,16,40,474,258,8400,3250,500,1400,63,55,12.4,14,6535,68,1
Luther College,1549,1392,587,38,72,2269,85,13240,3560,600,400,73,85,13.8,38,8949,77,1
University of California at Berkeley,19873,8252,3215,95,100,19532,2061,11648,6246,636,1933,93,97,15.8,10,13919,78,0
Mississippi University for Women,480,405,380,19,46,1673,1014,4386,2217,600,1500,49,54,15.8,8,5704,63,0
St. Bonaventure University,1489,1313,375,13,45,1688,131,10456,4927,500,1050,91,91,17.7,32,9828,78,1
Saint Olaf College,2248,1673,745,38,73,2888,105,14350,3750,550,550,82,88,10.0,31,12502,83,1
Wheeling Jesuit College,903,755,213,15,49,971,305,10500,4545,600,600,66,71,14.1,27,7494,72,1
Pitzer College,1133,630,220,37,73,750,30,17688,5900,650,850,100,100,10.4,11,14820,73,1
Clinch Valley Coll. of  the Univ. of Virginia,689,561,250,15,30,1125,422,7168,3689,600,1900,67,67,18.1,9,4417,46,0
Harvey Mudd College,1377,572,178,95,100,654,5,17230,6690,700,900,100,100,8.2,46,21569,100,1
Pembroke State University,944,774,440,14,34,2174,529,6360,2760,550,1498,77,77,15.0,5,6443,48,0
University of Wisconsin-Superior,910,910,342,14,53,1434,417,7032,2780,550,1960,75,81,15.2,15,6490,36,0
Murray State University,2225,1910,1190,29,55,5968,955,4738,3110,700,940,72,76,20.2,27,5972,52,0
Hampton University,7178,3755,1433,25,63,4623,740,7161,3518,600,2000,60,64,14.0,9,6791,70,1
Concordia College at St. Paul,281,266,139,13,29,1049,181,10500,3750,450,950,69,75,12.8,18,6955,45,1
Marymount University,941,772,214,10,30,1247,776,11390,5280,500,750,77,82,10.6,17,8575,55,1
University of Massachusetts at Amherst,14438,12414,3816,12,39,16282,1940,8566,3897,500,1400,88,92,16.7,15,10276,68,0
University of Tulsa,1712,1557,696,41,68,2936,433,11750,4160,1200,2350,94,96,11.5,10,11743,47,1
Georgetown University,11115,2881,1390,71,93,5881,406,18300,7131,670,1700,91,92,7.2,27,19635,95,1
Lesley College,244,198,82,12,33,1134,336,11700,5300,550,805,71,88,27.8,18,8694,58,1
Scripps College,855,632,139,60,83,569,7,17238,7350,600,800,95,100,8.2,41,18372,73,1
Capitol College,100,90,35,10,52,282,331,8400,2812,300,2134,10,50,12.1,24,7976,52,1
University of La Verne,1597,969,226,16,38,1431,1522,13540,5050,630,2298,66,68,14.1,23,10139,47,1
East Tennessee State University,3330,2730,1303,15,36,6706,2640,5800,3000,600,2200,73,75,14.0,9,9825,42,0
Chatham College,212,197,91,28,56,471,148,13500,5230,400,850,95,98,9.3,37,16095,52,1
Hamilton College,3140,1783,454,40,82,1646,24,19700,5050,300,800,91,96,9.6,60,17761,91,1
Clark University,2887,2059,457,30,61,1928,296,17500,4200,500,950,94,95,10.5,35,11951,79,1
Barat College,261,192,111,15,36,453,266,9690,4300,500,500,57,77,9.7,35,9337,71,1
Pacific Lutheran University,1603,1392,504,31,68,2580,302,13312,4488,600,1516,78,78,11.0,23,9431,83,1
St. Mary's College of California,2643,1611,465,36,80,2615,248,13332,6354,630,1584,88,89,16.1,17,9619,78,1
St. John Fisher College,1368,1064,354,19,51,1687,677,10570,5600,400,800,86,81,14.5,29,7908,66,1
Adelphi University,2186,1924,512,16,29,2683,1227,12280,6450,750,1500,29,30,12.2,16,10527,56,1
Saint Francis College IN,213,166,85,13,36,513,247,8670,3820,450,1000,43,78,12.5,4,7440,48,1
University of Nebraska at Lincoln,6277,6003,3526,33,63,16454,3171,5595,3145,500,2070,86,92,15.1,48,6813,53,0
Central College,1283,1113,401,31,65,1355,40,10938,3660,650,600,76,90,13.5,29,8444,67,1
Millersville University of Penn.,6011,3075,960,22,60,5146,1532,7844,3830,450,1258,72,74,16.8,20,7832,71,0
University of Sci. and Arts of Oklahoma,285,280,208,21,43,1140,473,3687,1920,600,1800,67,77,23.6,3,3864,43,0
Allegheny College,2652,1900,484,44,77,1707,44,17080,4440,400,600,73,91,9.9,41,11711,76,1
Polytechnic University,1132,847,302,58,89,1379,214,16200,4200,436,2486,90,90,10.4,14,14329,62,1
Worcester State College,2197,1515,543,4,26,3089,2029,6797,3900,500,1200,60,60,21.0,14,4469,40,0
Georgia State University,3793,2341,1238,9,24,7732,9054,6744,2655,720,3450,87,89,19.0,10,7762,34,0
Southwest State University,1047,938,511,13,33,2091,546,4285,2750,600,1800,58,75,16.5,31,6591,51,0
DePauw University,1994,1656,495,50,80,1983,36,14300,5020,550,950,78,94,11.1,31,11525,82,1
Texas Christian University,4095,3079,1195,33,64,5064,660,8490,3320,650,2400,81,93,14.8,23,9158,64,1
Northwest Nazarene College,616,514,385,29,52,1115,60,9840,2820,450,822,59,59,14.8,20,6261,58,1
The Citadel,1500,1242,611,12,36,2024,292,7070,2439,400,779,95,94,17.1,17,7744,84,0
Mercer University,2286,1668,564,37,70,2943,1260,11985,4081,400,1500,93,95,9.2,15,8995,91,1
Saint Anselm College,2095,1553,514,15,40,1873,94,12950,5400,450,1120,70,82,14.5,29,6719,97,1
Wisconsin Lutheran College,152,128,75,17,41,282,22,9100,3700,500,1400,48,48,8.5,26,8960,50,1
Emporia State University,1256,1256,853,43,79,3957,588,5401,3144,450,1888,72,75,19.3,4,5527,50,0
Franciscan University of Steubenville,553,452,228,22,49,1301,242,9650,4400,600,1000,57,69,14.9,8,6336,83,1
University of Virginia,15849,5384,2678,74,95,11278,114,12212,3792,500,1000,90,92,9.5,22,13597,95,0
University of South Carolina at Columbia,7693,5815,2328,30,66,12594,3661,8074,3522,495,2941,84,88,16.9,18,8246,63,0
Williams College,4186,1245,526,81,96,1988,29,19629,5790,500,1200,94,99,9.0,64,22014,99,1
Cedarville College,1307,1090,616,25,55,2196,82,7344,4410,570,1000,50,52,15.3,34,6897,64,1
University of Scranton,4471,2942,910,29,60,3674,493,11584,5986,650,800,83,83,14.1,41,9131,92,1
Missouri Southern State College,1576,1326,913,13,50,3689,2200,3840,2852,200,400,52,54,20.3,9,4172,100,0
Aquinas College,619,516,219,20,51,1251,767,11208,4124,350,1615,55,65,12.7,25,6584,65,1
St. Thomas Aquinas College,861,609,215,10,27,1117,815,8650,5700,500,1750,69,73,16.1,13,6534,67,1
Marymount College Tarrytown,478,327,117,9,34,731,370,11510,6450,575,1075,71,93,10.3,30,10502,77,1
Seton Hall University,4576,3565,1000,16,36,4384,1530,12000,6484,650,1000,81,84,14.4,15,10080,64,1
University of St. Thomas TX,374,280,185,45,77,995,408,8550,4050,500,1344,75,75,12.6,17,7237,62,1
Trenton State College,5042,2312,944,55,94,5167,902,5391,5411,700,1000,81,87,14.4,6,8504,81,0
Carroll College,1160,991,352,19,55,1357,737,12200,3880,480,930,74,81,17.8,25,7666,79,1
Bethany College,878,816,200,16,41,706,62,8740,3363,550,1700,62,68,11.6,29,7718,48,1
Tri-State University,1262,1102,276,14,40,978,98,9456,4350,468,1323,53,53,12.8,24,7603,65,1
SUNY College at Buffalo,5318,3515,1025,8,29,7626,2091,6550,4040,550,1230,71,78,18.7,12,7511,42,0
Graceland College,555,414,242,14,41,996,2281,9100,3100,550,880,51,61,23.6,24,5609,47,1
Talladega College,4414,1500,335,30,60,908,119,5666,2964,1000,1400,56,58,15.5,7,5970,46,1
Westminster College MO,662,553,184,20,43,665,37,10720,4050,600,1650,66,70,12.5,20,7925,62,1
Assumption College,2135,1700,491,23,59,1708,689,12000,5920,500,500,93,93,13.8,30,7100,88,1
Reed College,1966,1436,327,47,80,1199,61,19960,5490,500,450,90,90,11.8,37,15886,68,1
Viterbo College,647,518,271,17,43,1014,387,9140,3365,500,2245,51,65,10.7,31,8050,73,1
Saint Ambrose University,897,718,276,12,48,1345,390,10450,4020,500,1500,56,56,14.1,16,7444,70,1
University of Northern Colorado,5530,4007,1697,12,37,8463,1498,7731,4128,540,2286,75,75,21.5,8,6309,40,0
Colby College,2848,1319,456,58,84,1720,35,18930,5590,500,1000,83,94,10.2,41,15954,91,1
Cedar Crest College,776,607,198,25,58,791,764,14340,5285,500,1000,58,83,11.7,39,10961,74,1
Emory & Henry College,765,646,226,30,60,809,32,8578,4408,700,1600,79,88,13.9,51,8061,82,1
Vassar College,3550,1877,653,53,87,2164,77,18920,5950,600,800,90,98,9.7,39,17089,90,1
Trinity University,2425,1818,601,62,93,2110,95,12240,5150,500,490,94,96,9.6,20,14703,93,1
Point Park College,875,744,207,7,38,1173,1402,9700,4830,400,1200,45,90,14.5,10,7652,66,1
Columbia University,6756,1930,871,78,96,3376,55,18624,6664,550,300,97,98,5.9,21,30639,99,1
University of Montevallo,1351,892,570,18,78,2385,331,4440,3030,300,600,72,72,18.9,8,5883,51,0
University of Puget Sound,4044,2826,688,51,83,2738,138,16230,4500,630,1800,79,86,15.0,17,11217,63,1
Carnegie Mellon University,8728,5201,1191,60,89,4265,291,17900,5690,450,1250,86,93,9.2,31,24386,74,1
North Carolina State University at Raleigh,10634,7064,3176,39,78,16505,5481,8400,6540,600,1300,92,98,17.5,21,9670,62,0
Illinois Wesleyan University,3050,1342,471,55,86,1818,23,14360,4090,400,650,77,92,12.9,34,9605,83,1
Bowling Green State University,9251,7333,3076,14,45,13699,1213,7452,3352,600,1700,81,89,21.1,14,6918,67,0
Rutgers State University at Camden,3366,1752,232,27,79,2585,1300,7411,4748,690,2009,90,95,18.6,12,10134,57,0
Tennessee Wesleyan College,232,182,99,7,29,402,237,7070,3640,400,3158,59,65,8.9,16,6286,36,1
California State University at Fresno,4540,3294,1483,5,60,13494,1254,7706,4368,600,1926,90,90,21.2,8,7268,61,0
College of Notre Dame of Maryland,457,356,177,35,61,667,1983,11180,5620,600,700,64,64,11.5,32,7477,75,1
Briar Cliff College,392,351,155,16,44,738,430,10260,3597,600,1500,39,66,13.1,26,8355,58,1
SUNY College  at Brockport,7294,3564,904,7,34,5758,1363,6550,4460,500,705,79,83,19.0,14,6632,49,0
College of Charleston,4772,3140,1265,22,55,6851,1200,6120,3460,666,2316,73,78,17.2,18,4776,51,0
University of Chicago,6348,2999,922,68,94,3340,39,18930,6380,500,1254,99,99,5.3,36,36854,90,1
George Washington University,7875,5062,1492,38,71,5471,1470,17450,6328,700,950,92,93,7.6,15,14745,72,1
Willamette University,1658,1327,395,49,80,1595,159,14800,4620,400,790,91,94,13.3,37,10779,68,1
Mount Saint Mary's College,1321,1159,328,15,36,1243,79,12850,6200,550,900,77,82,12.8,36,8536,80,1
Lehigh University,6397,4304,1092,40,84,4298,132,18700,5580,750,1130,96,99,12.5,43,14665,91,1
Johnson State College,833,669,279,3,13,1224,345,7656,4690,500,624,80,91,14.4,15,6564,36,0
Milligan College,610,461,189,26,52,685,49,8200,3300,550,1000,63,69,12.0,16,8128,64,1
Nazareth College of Rochester,947,798,266,36,68,1274,471,10850,5150,550,800,77,93,13.6,24,8797,61,1
Jamestown College,472,410,262,14,41,9950,71,7620,3050,400,400,51,53,17.0,21,3186,54,1
Mount St. Mary's College,657,537,113,37,90,1039,466,12474,5678,630,1278,53,71,11.9,19,10613,72,1
Hendrix College,823,721,274,52,87,954,6,8800,3195,500,1200,82,99,13.1,26,8588,63,1
Bethel College,502,384,104,11,28,347,74,6200,2900,600,800,63,63,11.7,13,7623,35,1
SUNY at Binghamton,14463,6166,1757,60,94,8544,671,6550,4598,700,1000,83,100,18.0,15,8055,80,0
University of North Florida,1800,1253,560,44,85,3876,3588,6634,4360,600,2604,82,85,17.8,14,6104,47,0
University of Rhode Island,9643,7751,1968,12,40,8894,2456,10330,5558,500,1250,84,89,16.6,7,9158,63,0
McPherson College,420,293,93,11,32,336,80,7950,3750,600,2740,54,54,9.8,45,9754,48,1
Tiffin University,845,734,254,5,21,662,351,7600,3800,600,1200,59,74,19.0,40,5096,39,1
Campbellsville College,848,587,298,25,55,935,184,6060,3070,600,1300,62,66,17.7,13,5391,49,1
George Fox College,809,726,294,27,52,1271,43,12500,4130,400,1050,53,53,13.5,22,7136,52,1
Lander University,1166,1009,510,9,33,2074,341,4938,2987,528,1702,67,77,17.0,11,6119,51,0
William Woods University,469,435,227,17,39,851,120,10535,4365,550,3700,39,66,12.9,16,7438,52,1
Southwestern College,213,155,75,28,66,504,147,7200,3532,550,1500,56,56,11.8,12,7818,52,1
McKendree College,1002,555,119,16,43,836,684,7680,3740,500,800,70,74,17.7,21,6652,52,1
Catholic University of America,1754,1465,505,24,49,2159,211,13712,6408,526,1100,90,96,9.3,18,12751,75,1
Montclair State University,5220,2128,865,19,53,6411,3186,3648,4834,700,950,82,87,21.5,9,6717,58,0
Hillsdale College,920,745,347,35,66,1133,42,11090,4700,400,750,80,80,12.0,31,12639,79,1
Greensboro College,608,494,176,10,31,649,314,8330,3770,550,1300,64,80,13.0,31,7949,39,1
Southwest Baptist University,1093,1093,642,12,32,1770,967,7070,2500,400,1000,52,54,15.9,13,4718,71,1
Radford University,5702,4894,1742,15,37,8077,472,6684,4110,500,900,73,83,19.6,9,4519,62,0
Appalachian State University,7313,4664,1910,20,63,9940,1035,6806,2540,96,2000,83,96,18.3,14,5854,70,0
Ursuline College,325,260,86,21,47,699,717,9600,4202,450,750,39,69,10.5,15,7164,68,1
Connecticut College,3035,1546,438,42,93,1630,232,18740,6300,600,500,86,95,10.7,40,14773,91,1
Regis College,427,385,143,18,38,581,533,12700,5800,450,700,81,85,10.3,37,11758,84,1
Salisbury State University,4216,2290,736,20,52,4296,1027,5130,4690,600,1450,73,75,17.9,18,5125,56,0
Stockton College of New Jersey,4019,1579,710,23,65,4365,765,3040,4351,711,1125,78,92,19.5,7,5599,64,0
University of Missouri at Rolla,1877,1826,823,49,77,3926,561,9057,3600,700,1435,88,88,14.4,23,9699,49,0
Benedictine College,632,620,222,14,24,702,501,9550,3850,350,250,64,84,14.1,18,5922,58,1
Purdue University at West Lafayette,21804,18744,5874,29,60,26213,4065,9556,3990,570,1060,86,86,18.2,15,8604,67,0
Piedmont College,663,562,127,20,40,641,63,5640,3620,600,750,89,89,13.2,17,7309,31,1
Goldey Beacom College,633,468,284,10,27,823,963,6120,2985,531,1830,25,25,27.6,4,6081,36,1
Francis Marion University,1801,1655,819,13,38,3224,436,5840,3138,400,2430,76,76,19.1,8,5039,43,0
Hampden - Sydney College,817,644,307,20,40,945,1,13218,4773,660,600,95,97,13.3,53,12263,69,1
McMurry University,578,411,187,25,50,880,477,6930,3452,400,1525,57,64,11.0,11,6383,32,1
Bryn Mawr College,1465,810,313,71,95,1088,16,18165,6750,500,1200,100,100,12.3,49,17449,89,1
Michigan State University,18114,15096,6180,23,57,26640,4120,10658,3734,504,600,93,95,14.0,9,10520,71,0
Goshen College,440,396,221,26,51,910,166,9420,3730,600,1230,51,56,9.9,46,10270,72,1
Central Missouri State University,4681,4101,1436,10,35,8094,1596,4620,3288,300,2250,69,80,19.7,4,5501,50,0
Huntingdon College,608,520,127,26,47,538,126,8080,3920,500,1100,63,72,11.4,9,7703,44,1
University of Maryland at Baltimore County,4269,2594,985,27,57,6476,2592,8594,4408,494,2768,82,88,18.4,6,7618,55,0
Fayetteville State University,1455,1064,452,1,16,2632,617,6806,2550,350,766,75,75,15.1,10,6972,24,0
Saint Xavier University,785,647,295,15,65,1670,726,10860,4624,600,794,87,100,13.7,15,8953,55,1
Harvard University,13865,2165,1606,90,100,6862,320,18485,6410,500,1920,97,97,9.9,52,37219,100,1
Sioux Falls College,437,400,211,13,35,614,271,8990,3064,500,1700,73,73,14.8,7,7881,48,1
Lamar University,2336,1725,1043,10,27,5438,4058,4752,3040,508,1463,48,82,18.4,12,5879,26,0
Mankato State University,3073,2672,1547,9,29,9649,1792,4300,2643,450,1660,57,68,19.0,11,5801,68,0
Agnes Scott College,417,349,137,60,89,510,63,12960,5450,450,875,92,97,7.7,37,19016,59,1
Southwestern University,1244,912,352,44,77,1177,43,11850,4675,600,1050,83,89,11.3,35,12995,67,1
Virginia Commonwealth University,4963,3497,1567,18,45,10262,5065,10217,4182,500,3630,81,87,8.7,11,11183,45,0
Rocky Mountain College,560,392,270,11,31,743,118,8734,3362,600,625,56,78,11.3,27,6422,68,1
University of Indianapolis,1487,1276,388,26,51,1417,1646,11120,4080,525,1405,55,56,11.1,23,6735,69,1
Mount Saint Clare College,325,284,95,16,33,364,88,9900,3650,500,1200,32,37,13.6,43,6525,21,1
Salem College,335,284,132,28,69,534,216,10475,6300,500,2000,68,68,11.2,46,9599,60,1
Castleton State College,1257,940,363,9,22,1547,294,7656,4690,400,700,89,91,14.7,8,6318,79,0
Western Carolina University,3224,2519,1057,11,31,5000,706,6390,2380,110,1622,67,78,14.6,9,6554,55,0
SUNY College at New Paltz,8399,3609,656,19,53,4658,1478,6550,4240,550,1500,85,93,15.3,8,6608,53,0
Washington University,7654,5259,1254,62,93,4879,1274,18350,5775,768,1512,91,98,3.9,31,45702,90,1
Moravian College,1232,955,303,23,58,1241,485,14990,4730,550,1250,86,92,15.2,28,9566,74,1
University of Texas at Austin,14752,9572,5329,48,85,30017,5189,5130,3309,650,3140,91,99,19.7,11,7837,65,0
College of the Holy Cross,2994,1691,659,70,95,2675,22,18000,6300,400,900,92,96,11.3,55,12138,95,1
Gannon University,2464,1908,678,24,57,2693,691,10970,4280,500,1380,47,51,13.3,18,7711,65,1
Bennington College,519,327,114,25,53,457,2,21700,4100,600,500,35,59,10.1,33,16364,55,1
University of Texas at San Antonio,4217,3100,1686,17,46,9375,5457,4104,5376,452,1200,94,100,25.3,3,4329,50,0
Vanderbilt University,7791,4690,1499,71,92,5500,90,17865,6525,630,952,93,98,5.8,26,23850,83,1
Missouri Valley College,1310,983,316,5,35,1057,175,8550,5050,400,900,35,67,17.4,16,4333,27,1
Iona College,4892,3530,913,13,33,3906,1446,10690,6790,570,1150,66,83,16.0,14,8107,66,1
Washington and Lee University,3315,1096,425,68,93,1584,3,13750,4619,680,1115,81,96,9.6,45,15736,90,1
Saint Mary's College of Minnesota,876,802,367,14,35,1263,118,10800,3600,400,820,68,74,18.8,19,5081,78,1
Alfred University,1732,1425,472,37,75,1830,110,16548,5406,500,600,82,88,11.3,31,10932,73,1
Spelman College,3713,1237,443,47,83,1971,107,7000,5565,660,2400,73,80,12.5,18,9988,65,1
Northern Arizona University,5891,4931,1973,23,48,11249,2682,6746,3728,620,2342,78,83,21.7,7,6157,41,0
Saint Mary's College,888,734,393,26,60,1433,27,12730,4514,500,1525,74,95,9.9,31,11165,98,1
Westminster College of Salt Lake City,917,720,213,21,60,979,743,8820,4050,600,2025,68,83,10.5,34,7170,50,1
Upper Iowa University,663,452,192,10,35,1481,1160,8840,3060,500,1000,69,75,17.4,19,3733,78,1
West Chester University of Penn.,6502,3539,1372,11,51,7484,1904,7844,4108,400,2000,76,79,15.3,16,6773,52,0
University of Pittsburgh-Main Campus,8586,6383,2503,25,59,13138,4289,10786,4560,400,900,93,93,7.8,10,13789,66,0
Quincy University,1025,707,297,22,66,1070,72,10100,4140,450,1080,69,71,16.3,32,6880,80,1
Florida State University,11651,8683,3023,50,90,18906,3242,6680,4060,600,1020,80,89,23.1,15,7250,58,0
Indiana State University,5659,4761,3147,10,31,8596,1949,6892,3706,600,2500,72,76,16.6,8,6996,40,0
Colorado College,3207,1577,490,56,87,1892,7,17142,4190,450,1200,85,97,11.3,51,14664,84,1
Merrimack College,1981,1541,514,18,36,1927,1084,12500,6200,375,1000,73,75,16.8,22,8707,80,1
University of Louisville,4777,3057,1823,16,33,9844,6198,6540,3600,530,2440,84,92,11.1,24,10207,31,0
Sarah Lawrence College,1380,768,263,57,82,1000,105,19300,6694,600,700,89,93,6.1,18,14779,83,1
LaGrange College,544,399,177,15,35,600,363,6987,3585,750,1500,77,83,12.5,12,9067,75,1
Wingate College,1239,1017,383,10,34,1207,157,7820,3400,550,1550,69,81,13.9,8,7264,91,1
Loyola Marymount University,3768,2662,753,42,64,3558,436,13592,5916,545,1328,84,88,14.2,10,11677,84,1
Western Michigan University,9167,7191,2738,24,53,15739,4278,6940,4100,500,1700,80,84,24.7,11,5983,55,0
Muskingum College,1109,922,375,24,46,1115,70,13240,3914,600,800,73,85,13.4,27,9333,73,1
Wells College,318,240,130,40,85,416,19,14900,5550,600,500,93,98,8.3,42,13935,69,1
Loyola University Chicago,3579,2959,868,25,55,5244,3417,11500,5330,700,2000,94,95,6.2,15,13009,65,1
King's College,1456,1053,381,20,45,500,541,10910,5160,400,1795,66,72,15.6,37,7649,87,1
University of Denver,2974,2001,580,29,60,2666,554,15192,4695,400,1350,84,91,15.9,21,11762,67,1
Pace University,8256,3750,1522,37,70,5809,4379,11000,5160,660,1115,90,95,13.8,10,10059,62,1
Oklahoma State University,4522,3913,2181,29,57,12830,1658,5336,3344,800,3100,84,92,15.3,14,6433,48,0
Seton Hill College,936,794,197,24,56,752,210,11240,4180,350,2000,71,71,11.2,37,10065,71,1
Johns Hopkins University,8474,3446,911,75,94,3566,1569,18800,6740,500,1040,96,97,3.3,38,56233,90,1
Centenary College of Louisiana,495,434,210,35,55,775,44,8950,3490,600,1900,86,92,11.3,25,9685,66,1
University of South Florida,7589,4676,1876,29,63,14770,10962,6760,3776,500,2180,84,89,17.0,7,11020,47,0
Susquehanna University,2096,1512,465,27,59,1442,166,16130,4710,400,800,83,86,13.9,37,10554,90,1
Huron University,600,197,124,3,9,392,69,7260,3090,600,1840,31,35,12.9,4,9249,21,1
Guilford College,1202,1054,326,18,44,1410,299,13404,5160,450,1050,78,86,15.6,30,9114,65,1
Prairie View A. and M. University,2405,2234,1061,10,22,4564,448,4290,3500,598,1582,55,93,19.4,1,5967,35,0
Saint Peter's College,1606,1413,530,23,38,1921,1154,9408,5520,500,450,78,78,12.1,22,7669,53,1
Central Wesleyan College,174,146,88,8,29,1047,33,8300,3080,600,600,62,62,15.2,18,3365,58,1
Marist College,4731,3171,830,12,31,3557,658,10700,5925,550,1200,74,81,17.6,34,8408,69,1
University of Florida,12445,8836,3623,54,85,24470,3286,7090,4180,630,1530,88,97,13.4,20,14737,66,0
Wentworth Institute of Technology,1480,1257,452,6,25,2961,572,9850,6050,850,920,10,68,15.4,8,17858,64,1
Caldwell College,1011,604,213,17,42,693,868,8900,4600,425,1000,87,96,13.9,25,7922,55,1
University of Minnesota at Duluth,4192,3126,1656,15,45,5887,1254,8828,3474,753,2610,79,91,19.0,11,6393,53,0
Indiana Wesleyan University,735,423,366,20,48,2448,707,9210,3782,700,1000,49,51,39.8,15,6562,34,1
Hartwick College,2083,1725,430,22,49,1464,67,17480,4780,500,700,75,87,12.3,32,11625,73,1
Stetson University,1557,1227,489,37,69,1964,81,12315,4565,600,1365,85,90,12.5,24,10307,73,1
Northeastern University,11901,8492,2517,16,42,11160,10221,13380,7425,600,1750,73,82,12.9,17,9563,46,1
Boston University,20192,13007,3810,45,80,14971,3113,18420,6810,475,1025,80,81,11.9,16,16836,72,1
Millikin University,1444,1261,456,29,62,1788,95,11910,4378,450,965,60,77,11.4,25,8149,75,1
College of St. Scholastica,672,596,278,29,60,1350,275,11844,3696,450,1146,54,76,11.6,33,8996,72,1
Salem-Teikyo University,489,384,120,23,52,700,45,10575,3952,400,620,46,24,13.0,9,8946,98,1
University of Illinois - Urbana,14939,11652,5705,52,88,25422,911,7560,4574,500,1982,87,90,17.4,13,8559,81,0
Berry College,1858,1221,480,37,68,1620,49,8050,3940,350,2375,80,80,16.3,17,10511,63,1
Beaver College,1163,850,348,23,56,878,519,12850,5400,400,800,78,89,12.2,30,8954,73,1
